ticker,date,totalvol,retailvol
AAPL,5/1/2020,240616700,121799100
AAPL,5/4/2020,133567944,66076128
AAPL,5/5/2020,147751180,70984880
AAPL,5/6/2020,142333752,71951092
AAPL,5/7/2020,115215056,50974880
AAPL,5/8/2020,134047940,64636792
AAPL,5/11/2020,145946244,76965648
AAPL,5/12/2020,162301052,81072404
AAPL,5/13/2020,200622556,98594660
AAPL,5/14/2020,158929076,77579228
AAPL,5/15/2020,166348376,76860024
AAPL,5/18/2020,135372500,65222600
AAPL,5/19/2020,101729540,50561192
AAPL,5/20/2020,111504860,52851916
AAPL,5/21/2020,102688844,50536424
AAPL,5/22/2020,81803016,38954152
AAPL,5/26/2020,125521816,58776576
AAPL,5/27/2020,112945096,48463532
AAPL,5/28/2020,133796412,58239056
AAPL,5/29/2020,153598128,59829972
AAPL,6/1/2020,81018612,35238060
AAPL,6/2/2020,87642816,38221028
AAPL,6/3/2020,104491216,48837164
AAPL,6/4/2020,87560364,39320300
AAPL,6/5/2020,137250200,57033276
AAPL,6/8/2020,95654536,42068264
AAPL,6/9/2020,147712364,73535272
AAPL,6/10/2020,166651752,77413040
AAPL,6/11/2020,201662452,90864720
AAPL,6/12/2020,200146052,99002096
AAPL,6/15/2020,138808920,67453888
AAPL,6/16/2020,165428728,76712328
AAPL,6/17/2020,114406504,55197472
AAPL,6/18/2020,96820384,42958180
AAPL,6/19/2020,264475808,94080744
AAPL,6/22/2020,135445264,68021904
AAPL,6/23/2020,212155476,116805364
AAPL,6/24/2020,192623396,103216372
AAPL,6/25/2020,137522512,69423808
AAPL,6/26/2020,205256844,98276244
AAPL,6/29/2020,130646076,64305980
AAPL,6/30/2020,140223284,68691304
AAPL,7/1/2020,110737236,51928420
AAPL,7/2/2020,114041468,53391744
AAPL,7/6/2020,118655652,58305348
AAPL,7/7/2020,112424456,55312780
AAPL,7/8/2020,117091880,59915776
AAPL,7/9/2020,125642608,63064924
AAPL,7/10/2020,90257320,41839092
AAPL,7/13/2020,191649140,97894760
AAPL,7/14/2020,170989364,85426196
AAPL,7/15/2020,153197932,76201812
AAPL,7/16/2020,110577672,52260852
AAPL,7/17/2020,92186900,41450828
AAPL,7/20/2020,90317908,38448048
AAPL,7/21/2020,103645836,46815812
AAPL,7/22/2020,89001652,46562616
