date,ticker,open,close,high,low,vol
20/02/2019,NFLX,364.85001,359.91,366.70999,356.70001,8138541
21/02/2019,NFLX,360.03,356.97,362.85001,353.88,6227797
22/02/2019,NFLX,360.34,363.01999,366.13,360.04999,7088114
25/02/2019,NFLX,367.01001,363.91,371.48999,363.79001,7569320
26/02/2019,NFLX,362.98001,364.97,365.70001,359.32999,4944593
27/02/2019,NFLX,363.5,362.87,368.03,359.79999,5629945
28/02/2019,NFLX,362.47,358.10001,366.39001,357.70901,6184063
1/3/2019,NFLX,362.26001,357.32001,362.87,354.6915,5526239
4/3/2019,NFLX,359.72,351.04001,362.25,348.04361,7490511
5/3/2019,NFLX,351.45999,354.29999,356.17001,348.25,5937854
6/3/2019,NFLX,353.60001,359.60999,359.88,351.70001,6211895
7/3/2019,NFLX,360.16,352.60001,362.85999,350.5,6151369
8/3/2019,NFLX,345.75,349.60001,349.92001,342.47,6898986
11/3/2019,NFLX,352,358.85999,358.98001,350.03,5390385
12/3/2019,NFLX,359.37,356.26999,360.13,353.79999,5164571
13/03/2019,NFLX,355.81,361.20999,362.48001,352.76501,6443992
14/03/2019,NFLX,360.5,358.82001,363.84,358.1008,5271229
15/03/2019,NFLX,361.01999,361.45999,364,358.89001,8486178
18/03/2019,NFLX,362.47,363.44,370.97049,361.85999,7194720
19/03/2019,NFLX,366.39999,358.78,366.95999,356.79999,7541425
20/03/2019,NFLX,358.91,375.22,375.89999,357.01001,10917165
21/03/2019,NFLX,374,377.87,379,370.60999,8545442
22/03/2019,NFLX,375.95001,361.01001,376.42999,360.04001,8661370
25/03/2019,NFLX,359,366.23001,367.03989,357.44,8473645
26/03/2019,NFLX,367.87,359.97,368.38,358.01999,7666775
27/03/2019,NFLX,361,353.37,362.47,350.37,7852264
28/03/2019,NFLX,354.48499,354.60999,355.94,349.20001,4360960
29/03/2019,NFLX,357.16,356.56,358.25,353.70999,4705523
1/4/2019,NFLX,359,366.95999,368.32999,358.51001,7036091
2/4/2019,NFLX,366.25,367.72,368.42001,362.22,5158747
3/4/2019,NFLX,369.26001,369.75,373.41049,366.19,5376623
4/4/2019,NFLX,370.07001,367.88,372.04999,362.39999,4631075
5/4/2019,NFLX,369,365.48999,369.79999,364.66,3905493
8/4/2019,NFLX,365.10999,361.41,365.94,359.92999,4653504
9/4/2019,NFLX,360.54001,364.70999,366.73999,359,5436928
10/4/2019,NFLX,365.79001,363.92001,368.84811,362.25,4545161
11/4/2019,NFLX,365,367.64999,370.12,360.81,6526799
12/4/2019,NFLX,360.69,351.14001,361.75,349.35999,15645599
15/04/2019,NFLX,350.70999,348.87,352.20999,342.26999,8842344
16/04/2019,NFLX,355,359.45999,364.4787,352.72,18751890
17/04/2019,NFLX,365.04999,354.73999,368.76401,350.60001,18053995
18/04/2019,NFLX,355,360.35001,360.41,351.64001,8353065
22/04/2019,NFLX,359.70001,377.34,377.69,359,11980734
23/04/2019,NFLX,375.45001,381.89001,384.79999,374.70691,10089414
24/04/2019,NFLX,381.07001,374.23001,381.89999,373.26981,6540472
25/04/2019,NFLX,374.48999,368.32999,374.76001,365.70001,6254496
26/04/2019,NFLX,368.35001,374.85001,375.14001,366.23999,5621601
29/04/2019,NFLX,373.67999,371.82999,374.57529,369.11499,3821703
30/04/2019,NFLX,369.56,370.54001,374.5,368.34799,3870014
1/5/2019,NFLX,374,378.81,385.98999,373.17459,9256384
2/5/2019,NFLX,378,379.06,383.5,374.51001,5396685
3/5/2019,NFLX,381.53,385.03,385.03,378.2717,5130270
6/5/2019,NFLX,377.69,378.67001,381.35001,376,5793144
7/5/2019,NFLX,377,370.45999,379.91,365.81,6974224
8/5/2019,NFLX,367.92001,364.37,369,361.35999,6571957
9/5/2019,NFLX,360.89999,362.75,364.20001,352.75,5882472
10/5/2019,NFLX,361.62,361.04001,365.25781,353.06,5657123
13/05/2019,NFLX,352.29001,345.26001,354.26001,343.10001,8026197
14/05/2019,NFLX,348.70999,345.60999,349.95001,342.5,5353029
15/05/2019,NFLX,343.34,354.98999,356.5,341.39001,6339618
16/05/2019,NFLX,356.37,359.31,364,353.935,6441480
17/05/2019,NFLX,356.39001,354.45001,359.62,353.785,4725448
20/05/2019,NFLX,351.23001,348.10999,352.418,345.39999,4621015
21/05/2019,NFLX,350.95001,354.26999,356.42499,349.92999,4026269
22/05/2019,NFLX,358.01001,359.73001,370.45999,357.29999,6229089
23/05/2019,NFLX,355.5,352.20999,357.42001,347.70001,5630443
24/05/2019,NFLX,355.41,354.39001,359.44,353.79099,3833943
28/05/2019,NFLX,354.39001,354.78,361.20001,353.64001,4717144
29/05/2019,NFLX,353.60001,349.19,353.8476,345.89999,5658211
30/05/2019,NFLX,350.54999,351.85001,354.20999,348.29999,4007542
31/05/2019,NFLX,347.22,343.28,349.34,342.92001,5023349
3/6/2019,NFLX,343.56,336.63,347.66,332.64999,7848289
4/6/2019,NFLX,345,353.39999,353.60999,343.25,7891632
5/6/2019,NFLX,354.38,355.73001,357.88,348.70999,5019881
6/6/2019,NFLX,354.84,357.13,358.20999,352.09,3709255
7/6/2019,NFLX,357.39001,360.87,365.14999,355.69,4777051
10/6/2019,NFLX,363.64999,352.01001,367.10001,349.285,7809611
11/6/2019,NFLX,355,351.26999,357.57999,348.5,5394312
12/6/2019,NFLX,351.82001,345.56,353.60999,343.23001,4584504
13/06/2019,NFLX,347.23001,343.42999,348.5,339.25,6209527
14/06/2019,NFLX,341.63,339.73001,343.39999,336.155,5017911
17/06/2019,NFLX,342.69,350.62,351.76999,342.06,5357119
18/06/2019,NFLX,355.57001,357.12,361.5,353.75,5427642
19/06/2019,NFLX,361.72,363.51999,364.73999,356.12,5665756
20/06/2019,NFLX,365.91,365.20999,370.12,361.215,5899067
21/06/2019,NFLX,365,369.20999,371.45001,365,7447356
24/06/2019,NFLX,370.26999,371.04001,375,370.20001,4830120
25/06/2019,NFLX,370.75,360.29999,370.99939,358.29001,5749783
26/06/2019,NFLX,361.60001,362.20001,366.79001,361.60001,3669277
27/06/2019,NFLX,363.20001,370.01999,370.85001,363.20001,4138538
28/06/2019,NFLX,370.26001,367.32001,371.5448,364.87,4592706
1/7/2019,NFLX,373.5,374.60001,376.66,372,5001018
2/7/2019,NFLX,374.89001,375.42999,376,370.31,3628862
3/7/2019,NFLX,376.69,381.72,381.98999,375.84,3799044
5/7/2019,NFLX,378.29001,380.54999,381.39999,375.55499,3732062
8/7/2019,NFLX,378.19,376.16,378.25,375.35999,3113002
9/7/2019,NFLX,379.06,379.92999,384.76001,377.5,6932722
10/7/2019,NFLX,382.76999,381,384.3399,377.39999,5876400
11/7/2019,NFLX,381.10001,379.5,384.54001,378.79999,4334987
12/7/2019,NFLX,378.67999,373.25,379.73749,372.79169,6635837
15/07/2019,NFLX,372.94,366.60001,373.67999,362.29999,7944680
16/07/2019,NFLX,370.09,365.98999,371.34,364.92001,5861722
17/07/2019,NFLX,366.25,362.44,366.5,361.75,13644628
18/07/2019,NFLX,323.76001,325.20999,329.85001,320.29999,31303472
19/07/2019,NFLX,323.39999,315.10001,325.85001,314.23001,16320232
22/07/2019,NFLX,312,310.62,314.54001,305.81,17721817
23/07/2019,NFLX,311.44,307.29999,313.5,306,9169268
24/07/2019,NFLX,310.51001,317.94,319.98999,307.25,11960318
25/07/2019,NFLX,318.85999,326.45999,327.69,316.29999,10795695
26/07/2019,NFLX,328.79001,335.78,336,327.5,10845995
29/07/2019,NFLX,335.98001,332.70001,336.39999,328.76999,5770317
30/07/2019,NFLX,329.20001,325.92999,329.64999,323.23001,6027220
31/07/2019,NFLX,325.16,322.98999,331.76999,318.53,6259394
1/8/2019,NFLX,324.25,319.5,328.57999,318.73499,6560956
2/8/2019,NFLX,317.48999,318.82999,319.41,311.79999,6278963
5/8/2019,NFLX,310.95999,307.63,313.41791,304.677,8694224
6/8/2019,NFLX,310.57999,310.10001,311.88,305.29999,6178090
7/8/2019,NFLX,302.56,304.29001,305,296.81259,9321126
8/8/2019,NFLX,311.03,315.89999,316.36481,306.63,5904865
9/8/2019,NFLX,313.73999,308.92999,316.64001,305.67999,5347259
12/8/2019,NFLX,305.45999,310.82999,312.89001,303.23999,6528322
13/08/2019,NFLX,309.76999,312.28,316.42999,308.16,5336361
14/08/2019,NFLX,308.01001,299.10999,308.41,298.005,7352953
15/08/2019,NFLX,299.5,295.76001,300.63,288,9681684
16/08/2019,NFLX,298.85999,302.79999,303.54999,296.26999,7090457
19/08/2019,NFLX,306.25,309.38,311.75,304.75,4949567
20/08/2019,NFLX,304.57001,298.98999,305,297.68109,7347862
21/08/2019,NFLX,301.60999,297.81,302.88,296.20001,5689346
22/08/2019,NFLX,298.64999,296.92999,300.32999,293.14999,4972542
23/08/2019,NFLX,295,291.44,299.01001,290.32001,6330589
26/08/2019,NFLX,295.23999,294.98001,296.95001,292.5,4696282
27/08/2019,NFLX,294.54001,291.03,296.76999,287.19681,6313459
28/08/2019,NFLX,289.47,291.76999,292.82001,287.75,3956043
29/08/2019,NFLX,295,296.78,299.92999,294.98999,4389932
30/08/2019,NFLX,298.78,293.75,298.94,290.85001,4447089
3/9/2019,NFLX,290.82001,289.29001,293.89999,288.06,3672277
4/9/2019,NFLX,291.25,291.51999,292.38,286.51001,4653265
5/9/2019,NFLX,285.32001,293.25,293.97,282.785,8970056
6/9/2019,NFLX,293.35001,290.17001,293.35001,287.03,5165356
9/9/2019,NFLX,294.81,294.34,301.54999,290.60001,8232144
10/9/2019,NFLX,291.16,287.98999,297.17001,282.6629,12304148
11/9/2019,NFLX,285.70001,288.26999,292.64999,284.60999,7401349
12/9/2019,NFLX,288.10001,288.85999,292.73001,286.60001,5029027
13/09/2019,NFLX,290.60999,294.14999,296.62,290.04001,6582024
16/09/2019,NFLX,294.23001,294.29001,297.42999,289.78,5305786
17/09/2019,NFLX,294.5,298.60001,299.14999,291.79001,4816319
18/09/2019,NFLX,294.98999,291.56,296.04999,287.45001,7840039
19/09/2019,NFLX,291.56,286.60001,293.81,283.39999,8541058
20/09/2019,NFLX,280.26001,270.75,282.5,266,23960698
23/09/2019,NFLX,268.345,265.92001,273.39001,261.89001,13607294
24/09/2019,NFLX,262.5,254.59,265,252.28,16392677
25/09/2019,NFLX,255.71001,264.75,266.60001,253.7,11830698
26/09/2019,NFLX,266.42001,263.31,268.04999,260.20001,7696458
27/09/2019,NFLX,266.17499,263.07999,267.44,260.39001,7364784
30/09/2019,NFLX,264,267.62,268.88,262.78,6820300
1/10/2019,NFLX,267.35001,269.57999,272.20001,264.03,8784984
2/10/2019,NFLX,263.60999,268.03,269.35001,262.19,7771499
3/10/2019,NFLX,267.78,268.14999,268.84299,257.01001,9067610
4/10/2019,NFLX,268.20001,272.79001,275.48459,266.47,9991974
7/10/2019,NFLX,271.98999,274.45999,276.67999,271.28,6794311
8/10/2019,NFLX,273.03,270.72,275.53,270.6427,6300269
9/10/2019,NFLX,270.01999,267.53,271,264.57001,6841788
10/10/2019,NFLX,265.97,280.48001,280.53,265.03369,10959091
11/10/2019,NFLX,284.79999,282.92999,287.87,275.89471,8815509
14/10/2019,NFLX,283.92999,285.53,286.92999,282,5541820
15/10/2019,NFLX,283.82001,284.25,285.87,279.39999,7728861
16/10/2019,NFLX,283.12,286.28,288.17001,280.7431,18549203
17/10/2019,NFLX,304.48999,293.35001,308.75,288.30011,38482594
18/10/2019,NFLX,289.35999,275.29999,290.89999,273.35999,23446407
21/10/2019,NFLX,272.89001,278.04999,279.93991,269,12621509
22/10/2019,NFLX,271.159,266.69,275.41,265.79999,11861994
23/10/2019,NFLX,268.06,271.26999,273.92001,266.63,7185730
24/10/2019,NFLX,271.81,271.5,274.01999,268.79999,4910833
25/10/2019,NFLX,270.67999,276.82001,277.76999,270.17999,4747629
28/10/2019,NFLX,278.04999,281.85999,285.75,277.35001,6246633
29/10/2019,NFLX,281.87,281.20999,284.41,277.54501,4355781
30/10/2019,NFLX,284.34,291.45001,293.48999,283,9344362
31/10/2019,NFLX,291,287.41,291.45001,284.78,5089291
1/11/2019,NFLX,288.70001,286.81,289.12,283.01999,5593487
4/11/2019,NFLX,288,292.85999,295.39001,287.16,5562413
5/11/2019,NFLX,289.98999,288.03,291.19,286.31,4060190
6/11/2019,NFLX,288.19,288.59,290.56,285.84,3437757
7/11/2019,NFLX,290.70001,289.57001,298.19,288.26791,5927971
8/11/2019,NFLX,288.73001,291.57001,293.98999,287.505,4508788
11/11/2019,NFLX,289.16,294.17999,296.35999,288.5,3943869
12/11/2019,NFLX,295.32001,292.01001,295.345,288.70001,5772933
13/11/2019,NFLX,291.03,283.10999,293.41,281.14001,9228566
14/11/2019,NFLX,283.25,289.62,290.63,283.22,6537471
15/11/2019,NFLX,290.59,295.03,295.8186,287.56799,6385779
18/11/2019,NFLX,296,302.57001,304.98999,293.28,8620066
19/11/2019,NFLX,304.01001,302.60001,305.66989,298.52011,5921316
20/11/2019,NFLX,301.01001,305.16,308.25,301,5113951
21/11/2019,NFLX,306,311.69,312.69,304.26221,7486623
22/11/2019,NFLX,309.10001,310.48001,311.39999,304.41,5969056
25/11/2019,NFLX,308.82999,315.54999,315.73001,305.25,7876843
26/11/2019,NFLX,315,312.48999,316.5,311.69,5326948
27/11/2019,NFLX,313.92999,315.92999,316.82001,312.75,4099875
29/11/2019,NFLX,315.78,314.66,316.62,313.34,2410249
2/12/2019,NFLX,314.39001,309.98999,314.39001,303.75,6203127
3/12/2019,NFLX,302.22,306.16,307.35999,301.88,5253157
4/12/2019,NFLX,308.42999,304.32001,308.42999,303.27271,3502600
5/12/2019,NFLX,305.26999,302.85999,306.48001,298.81,4611439
6/12/2019,NFLX,304.70001,307.35001,307.84949,302.60001,4451229
9/12/2019,NFLX,307.35001,302.5,311.48999,302.44,5756722
10/12/2019,NFLX,296.12,293.12,298.94,292.01999,10446909
11/12/2019,NFLX,294.48999,298.92999,299.42999,294.20001,5619721
12/12/2019,NFLX,295.67001,298.44,299.16501,295.06,4757556
13/12/2019,NFLX,298.5,298.5,301.79999,297.25,3876746
16/12/2019,NFLX,300.85001,304.20999,305.70999,298.63,4648885
17/12/2019,NFLX,307.35999,315.48001,316.79999,306.60001,10422675
18/12/2019,NFLX,316.26001,320.79999,325.35999,315.60001,11184901
19/12/2019,NFLX,324.5,332.22,332.82999,324.17999,9810812
