"date","ticker","open","close","high","low","vol","newssentiment","newsmentions","twtrmentions","twtrsentiment","wsbsentiment","wsbmentions","retailvol","instvol","retailperc","newssentimentlag1","newsmentionslag1","twtrmentionslag1","twtrsentimentlag1","wsbsentimentlag1","wsbmentionslag1","newssentimentlag2","newsmentionslag2","twtrmentionslag2","twtrsentimentlag2","wsbsentimentlag2","wsbmentionslag2","newssentimentlag4","newsmentionslag4","twtrmentionslag4","twtrsentimentlag4","wsbsentimentlag4","wsbmentionslag4","twtrmentions5MA","wsbmentions5MA","newsmentions5MA","twtrmentions10MA","wsbmentions10MA","newsmentions10MA","target"
2019-04-05,"AAPL",49.1125,49.25,49.2750025,48.9824975,74098216,63,2,850,0.475294117647059,0.132981818,1,31363004,42743572,0.423214857477695,50,0,971,0.49124613800206,0.022216667,1,50,2,922,0.460954446854664,-0.043166667,1,50,0,971,0.49124613800206,0.022216667,1,1016.8,1,3,960.6,1,3.4,45456188
2019-04-08,"AAPL",49.105,50.0250025,50.0575,49.085,103563396,50,0,1100,0.462727272727273,-0.018878571,1,45456188,58070600,0.439076579870323,63,2,850,0.475294117647059,0.132981818,1,63,0,971,0.49124613800206,0.022216667,1,63,2,850,0.475294117647059,0.132981818,1,1042.8,1,5,951.6,1,3.3,64235144
2019-04-09,"AAPL",50.0800025,49.875,50.7125025,49.8075,143068156,60.8181818181818,11,1241,0.362610797743755,0.052748052,1,64235144,78837804,0.44896778110702,50,0,1100,0.462727272727273,-0.018878571,1,50,2,850,0.475294117647059,0.132981818,1,50,0,1100,0.462727272727273,-0.018878571,1,1008.8,1,6,978.7,1,4,35330900
2019-04-10,"AAPL",49.6699975,50.155,50.1850025,49.5449975,86776776,50.75,12,1052,0.249049429657795,0.067296429,1,35330900,51450252,0.407126423027894,60.8181818181818,11,1241,0.362610797743755,0.052748052,1,60.8181818181818,0,1100,0.462727272727273,-0.018878571,1,60.8181818181818,11,1241,0.362610797743755,0.052748052,1,1012.6,1,5.8,1017.7,1,4.5,33930500
2019-04-11,"AAPL",50.2125025,49.7375,50.25,49.610775,83607852,35,5,801,0.3270911360799,0.015477778,1,33930500,49672732,0.405851534543545,50.75,12,1052,0.249049429657795,0.067296429,1,50.75,11,1241,0.362610797743755,0.052748052,1,50.75,12,1052,0.249049429657795,0.067296429,1,949.4,1,5.8,1007.4,1,4.7,46791900
2019-04-12,"AAPL",49.8,49.7175,50.035,49.0525025,111051120,50,1,869,0.2692750287687,0.040365385,1,46791900,64250772,0.421386653952275,35,5,801,0.3270911360799,0.015477778,1,35,12,1052,0.249049429657795,0.067296429,1,35,5,801,0.3270911360799,0.015477778,1,940.6,1,5,1000.4,1,4.8,27210048
2019-04-15,"AAPL",49.645,49.8075,49.9625025,49.5024975,70171384,50,0,784,0.317602040816327,0.3174875,1,27210048,42936536,0.387902681048588,50,1,869,0.2692750287687,0.040365385,1,50,5,801,0.3270911360799,0.015477778,1,50,1,869,0.2692750287687,0.040365385,1,992.6,1,4,983.6,1,4.9,38969204
2019-04-16,"AAPL",49.8650025,49.8125,50.3425,49.64,102770064,57.5714285714286,7,1197,0.385964912280702,0.056711429,1,38969204,63816336,0.379131189075817,50,0,784,0.317602040816327,0.3174875,1,50,1,869,0.2692750287687,0.040365385,1,50,0,784,0.317602040816327,0.3174875,1,1006,1,3.4,948.2,1,4.3,44961980
2019-04-17,"AAPL",49.8849975,50.7825,50.845,49.6525,117935920,58.1428571428571,7,1312,0.397103658536585,0.12618,1,44961980,70665140,0.388853237890903,57.5714285714286,7,1197,0.385964912280702,0.056711429,1,57.5714285714286,0,784,0.317602040816327,0.3174875,1,57.5714285714286,7,1197,0.385964912280702,0.056711429,1,988.2,1,3.8,926,1,3.7,29048612
2019-04-18,"AAPL",50.78,50.965,51.0374975,50.63,96782088,36,2,868,0.3963133640553,0.165256,1,29048612,67734452,0.300141479298486,58.1428571428571,7,1312,0.397103658536585,0.12618,1,58.1428571428571,7,1197,0.385964912280702,0.056711429,1,58.1428571428571,7,1312,0.397103658536585,0.12618,1,1017.8,1,4,914.9,1,3.6,32848312
