"","date","ticker","otcvol","otcshortvol"
"2210",2020-08-11,"AMZN",1361141,473273
"2211",2020-08-11,"FB",13694223,5478455
"2212",2020-08-11,"GOOGL",419583,131131
"2213",2020-08-11,"NFLX",2742728,1009489
"2214",2020-08-12,"AAPL",88169524,36270412
"2215",2020-08-12,"AMZN",1241638,444129
"2216",2020-08-12,"FB",10217546,4015798
"2217",2020-08-12,"GOOGL",327375,99074
"2218",2020-08-12,"NFLX",2034074,745795
"2219",2020-08-13,"AAPL",116744540,51423828
"2220",2020-08-13,"AMZN",1201394,482772
"2221",2020-08-13,"FB",8754849,3608307
"2222",2020-08-13,"GOOGL",327392,119721
"2223",2020-08-13,"NFLX",1225119,489133
"2224",2020-08-14,"AAPL",89446140,40561084
"2225",2020-08-14,"AMZN",1003676,375970
"2226",2020-08-14,"FB",7401901,2719620
"2227",2020-08-14,"GOOGL",220896,93088
"2228",2020-08-14,"NFLX",1164498,520463
"2231",2020-08-17,"AAPL",55317508,21674752
"2232",2020-08-17,"AMZN",929229,276933
"2233",2020-08-17,"FB",5177378,1675410
"2234",2020-08-17,"GOOGL",265138,90964
"2235",2020-08-17,"NFLX",839159,313842
"2236",2020-08-18,"AAPL",52043152,21042676
"2237",2020-08-18,"AMZN",2166557,693734
"2238",2020-08-18,"FB",9200224,2933334
"2239",2020-08-18,"GOOGL",373461,130062
"2240",2020-08-18,"NFLX",1226238,500545
"2241",2020-08-19,"AAPL",75574796,32615156
"2242",2020-08-19,"AMZN",1634943,625499
"2243",2020-08-19,"FB",12227902,4000557
"2244",2020-08-19,"GOOGL",350669,144195
"2245",2020-08-19,"NFLX",1226371,537175
"2246",2020-08-20,"AAPL",63755120,28232344
"2247",2020-08-20,"AMZN",1129368,443501
"2248",2020-08-20,"FB",9208179,3517221
"2249",2020-08-20,"GOOGL",387203,144177
"2250",2020-08-20,"NFLX",1791243,768972
"2251",2020-08-21,"AAPL",169321204,81262172
"2252",2020-08-21,"AMZN",1092545,470697
"2253",2020-08-21,"FB",6449197,2480690
"2254",2020-08-21,"GOOGL",437270,150506
"2255",2020-08-21,"NFLX",1321377,580218
"2258",2020-08-24,"AAPL",181364112,79296828
"2259",2020-08-24,"AMZN",1850325,642467
"2260",2020-08-24,"FB",11570176,3599724
"2261",2020-08-24,"GOOGL",382768,130490
"2262",2020-08-24,"NFLX",1831162,650280
"2263",2020-08-25,"AAPL",110486612,47379832
"2264",2020-08-25,"AMZN",1577458,521361
"2265",2020-08-25,"FB",22258048,6685695
"2266",2020-08-25,"GOOGL",381071,152733
"2267",2020-08-25,"NFLX",1865877,407683
"2268",2020-08-26,"AAPL",83386828,34417396
"2269",2020-08-26,"AMZN",2289026,788774
"2270",2020-08-26,"FB",31493205,12568538
"2271",2020-08-26,"GOOGL",685025,255957
"2272",2020-08-26,"NFLX",9110562,3761647
"2273",2020-08-27,"AAPL",74641556,31951328
"2274",2020-08-27,"AMZN",1460138,582785
"2275",2020-08-27,"FB",14341492,5734088
"2276",2020-08-27,"GOOGL",551166,147869
"2277",2020-08-27,"NFLX",3529125,1340264
"2278",2020-08-28,"AAPL",74644748,32881176
"2279",2020-08-28,"AMZN",921054,388159
"2280",2020-08-28,"FB",7913614,3057233
"2281",2020-08-28,"GOOGL",290699,109229
"2282",2020-08-28,"NFLX",1743968,698743
"2285",2020-08-31,"AAPL",103414928,39302347
"2286",2020-08-31,"AMZN",1624243,557727
"2287",2020-08-31,"FB",7230931,2588063
"2288",2020-08-31,"GOOGL",330065,106908
"2289",2020-08-31,"NFLX",1897694,706222
"2290",2020-09-01,"AAPL",73956150,28898076
"2291",2020-09-01,"AMZN",1259397,489842
"2292",2020-09-01,"FB",8459646,2739016
"2293",2020-09-01,"GOOGL",296134,107598
"2294",2020-09-01,"NFLX",3969001,1226163
"2295",2020-09-02,"AAPL",97787222,33311826
"2296",2020-09-02,"AMZN",1334059,559449
"2297",2020-09-02,"FB",10339712,3583297
"2298",2020-09-02,"GOOGL",621388,232271
"2299",2020-09-02,"NFLX",2158013,783135
"2300",2020-09-03,"AAPL",119460439,35580571
"2301",2020-09-03,"AMZN",3249349,1061812
"2302",2020-09-03,"FB",12328598,3830564
"2303",2020-09-03,"GOOGL",944157,352298
"2304",2020-09-03,"NFLX",3455000,1094863
"2305",2020-09-04,"AAPL",155059967,50714778
"2306",2020-09-04,"AMZN",3569466,1093134
"2307",2020-09-04,"FB",12935293,4365271
"2308",2020-09-04,"GOOGL",821658,206128
"2309",2020-09-04,"NFLX",3348443,1511444
"2313",2020-09-08,"AAPL",102994399,39232552
"2314",2020-09-08,"AMZN",2301491,707309
"2315",2020-09-08,"FB",9827774,3687032
"2316",2020-09-08,"GOOGL",577781,207958
"2317",2020-09-08,"NFLX",1870581,751829
"2318",2020-09-09,"AAPL",83478520,32741663
"2319",2020-09-09,"AMZN",2138395,811874
"2320",2020-09-09,"FB",10385128,4026206
"2321",2020-09-09,"GOOGL",445618,139399
"2322",2020-09-09,"NFLX",2535709,1137239
"2323",2020-09-10,"AAPL",92026237,36738802
"2324",2020-09-10,"AMZN",2137891,858585
"2325",2020-09-10,"FB",11702398,4713130
"2326",2020-09-10,"GOOGL",373556,183968
"2327",2020-09-10,"NFLX",2095015,1008220
"2328",2020-09-11,"AAPL",97234806,40284925
"2329",2020-09-11,"AMZN",2014175,817122
"2330",2020-09-11,"FB",9334003,3728201
"2331",2020-09-11,"GOOGL",436202,202209
"2332",2020-09-11,"NFLX",1817410,883896
"2335",2020-09-14,"AAPL",70161481,29837526
"2336",2020-09-14,"AMZN",1693548,894810
"2337",2020-09-14,"FB",10258520,4011175
"2338",2020-09-14,"GOOGL",464782,178308
"2339",2020-09-14,"NFLX",4157016,1750463
"2340",2020-09-15,"AAPL",105427959,43794369
"2341",2020-09-15,"AMZN",1425848,785230
"2342",2020-09-15,"FB",8748412,3559982
"2343",2020-09-15,"GOOGL",287526,115339
"2344",2020-09-15,"NFLX",2353287,1042391
"2345",2020-09-16,"AAPL",77883287,32543203
"2346",2020-09-16,"AMZN",1579040,852373
"2347",2020-09-16,"FB",15517287,5564305
"2348",2020-09-16,"GOOGL",304052,109708
"2349",2020-09-16,"NFLX",1838135,790513
"2350",2020-09-17,"AAPL",87968338,38785693
"2351",2020-09-17,"AMZN",2353265,1286216
"2352",2020-09-17,"FB",13149522,5164504
"2353",2020-09-17,"GOOGL",524551,243374
"2354",2020-09-17,"NFLX",2292149,1033136
"2355",2020-09-18,"AAPL",102095978,43091729
"2356",2020-09-18,"AMZN",2378246,1311355
"2357",2020-09-18,"FB",10097571,3899511
"2358",2020-09-18,"GOOGL",682854,268122
"2359",2020-09-18,"NFLX",2539925,884066
"2362",2020-09-21,"AAPL",106453256,45506705
"2363",2020-09-21,"AMZN",2282340,981316
"2364",2020-09-21,"FB",9864441,3523329
"2365",2020-09-21,"GOOGL",833988,354305
"2366",2020-09-21,"NFLX",2284275,970538
"2367",2020-09-22,"AAPL",101743916,43693970
"2368",2020-09-22,"AMZN",2762877,1109114
"2369",2020-09-22,"FB",13916781,4862784
"2370",2020-09-22,"GOOGL",402977,168400
"2371",2020-09-22,"NFLX",1308439,546286
"2372",2020-09-23,"AAPL",74879348,32637195
"2373",2020-09-23,"AMZN",2159050,796302
"2374",2020-09-23,"FB",8470431,3338245
"2375",2020-09-23,"GOOGL",430465,207544
"2376",2020-09-23,"NFLX",1309184,636826
"2377",2020-09-24,"AAPL",88767247,38664811
"2378",2020-09-24,"AMZN",2222411,858932
"2379",2020-09-24,"FB",8284655,3475428
"2380",2020-09-24,"GOOGL",477006,206846
"2381",2020-09-24,"NFLX",1654642,782397
"2382",2020-09-25,"AAPL",79893495,35382183
"2383",2020-09-25,"AMZN",1550345,641279
"2384",2020-09-25,"FB",7839711,3234525
"2385",2020-09-25,"GOOGL",334942,128076
"2386",2020-09-25,"NFLX",1019302,443504
"2389",2020-09-28,"AAPL",71680008,29904180
"2390",2020-09-28,"AMZN",1496114,562207
"2391",2020-09-28,"FB",6751168,2345135
"2392",2020-09-28,"GOOGL",428423,121634
"2393",2020-09-28,"NFLX",1772018,735165
"2394",2020-09-29,"AAPL",55774717,24151671
"2395",2020-09-29,"AMZN",1289311,467709
"2396",2020-09-29,"FB",9338023,3370293
"2397",2020-09-29,"GOOGL",441458,150901
"2398",2020-09-29,"NFLX",1393334,605939
"2399",2020-09-30,"AAPL",69425953,28270808
"2400",2020-09-30,"AMZN",1801593,679969
"2401",2020-09-30,"FB",7585079,2663394
"2402",2020-09-30,"GOOGL",386158,195076
"2403",2020-09-30,"NFLX",1506579,628750
"2404",2020-10-01,"AAPL",58102426,35476531
"2405",2020-10-01,"AMZN",1922821,630722
"2406",2020-10-01,"FB",7927045,2665352
"2407",2020-10-01,"GOOGL",367947,126595
"2408",2020-10-01,"NFLX",3309356,1307772
"2409",2020-10-02,"AAPL",68198472,41107132
"2410",2020-10-02,"AMZN",1904134,861615
"2411",2020-10-02,"FB",6511964,2662470
"2412",2020-10-02,"GOOGL",332759,198976
"2413",2020-10-02,"NFLX",2291818,1062129
"2416",2020-10-05,"AAPL",53613331,19755138
"2417",2020-10-05,"AMZN",1350774,507502
"2418",2020-10-05,"FB",4893214,1792330
"2419",2020-10-05,"GOOGL",282221,105556
"2420",2020-10-05,"NFLX",1587976,653411
"2421",2020-10-06,"AAPL",83182371,43060842
"2422",2020-10-06,"AMZN",1768541,736973
"2423",2020-10-06,"FB",8287244,3168538
"2424",2020-10-06,"GOOGL",363036,164197
"2425",2020-10-06,"NFLX",1672556,759957
"2426",2020-10-07,"AAPL",47971547,19154317
"2427",2020-10-07,"AMZN",1540085,513432
"2428",2020-10-07,"FB",10039599,3626621
"2429",2020-10-07,"GOOGL",522558,195404
"2430",2020-10-07,"NFLX",3768609,1550029
"2431",2020-10-08,"AAPL",41356898,17304023
"2432",2020-10-08,"AMZN",1139572,426516
"2433",2020-10-08,"FB",6688982,2587478
"2434",2020-10-08,"GOOGL",357278,151876
"2435",2020-10-08,"NFLX",2165891,956896
"2436",2020-10-09,"AAPL",43454438,16460208
"2437",2020-10-09,"AMZN",1698087,658611
"2438",2020-10-09,"FB",6144607,2177258
"2439",2020-10-09,"GOOGL",326441,149288
"2440",2020-10-09,"NFLX",2038368,812534
"2443",2020-10-12,"AAPL",121339605,47918064
"2444",2020-10-12,"AMZN",3207369,1158485
"2445",2020-10-12,"FB",13463214,4331565
"2446",2020-10-12,"GOOGL",698346,356984
"2447",2020-10-12,"NFLX",1928086,620602
"2448",2020-10-13,"AAPL",147443508,61209669
"2449",2020-10-13,"AMZN",2073576,749328
"2450",2020-10-13,"FB",7452893,2793661
"2451",2020-10-13,"GOOGL",442767,170569
"2452",2020-10-13,"NFLX",1896408,681022
"2453",2020-10-14,"AAPL",84667408,35578918
"2454",2020-10-14,"AMZN",2359047,869899
"2455",2020-10-14,"FB",5892108,2161148
"2456",2020-10-14,"GOOGL",386760,171301
"2457",2020-10-14,"NFLX",4296851,1680474
"2458",2020-10-15,"AAPL",58029022,23653699
"2459",2020-10-15,"AMZN",1831591,675360
"2460",2020-10-15,"FB",6133213,2222565
"2461",2020-10-15,"GOOGL",352485,174023
"2462",2020-10-15,"NFLX",2216846,817413
"2463",2020-10-16,"AAPL",56743252,22291623
"2464",2020-10-16,"AMZN",2012147,775635
"2465",2020-10-16,"FB",5822461,2221848
"2466",2020-10-16,"GOOGL",319580,119722
"2467",2020-10-16,"NFLX",2314548,960042
"2470",2020-10-19,"AAPL",63257146,25339597
"2471",2020-10-19,"AMZN",1906240,744471
"2472",2020-10-19,"FB",4946689,1876933
"2473",2020-10-19,"GOOGL",403610,146496
"2474",2020-10-19,"NFLX",3668027,1201720
"2475",2020-10-20,"AAPL",69569050,29627216
"2476",2020-10-20,"AMZN",1782542,670382
"2477",2020-10-20,"FB",7720442,3383599
"2478",2020-10-20,"GOOGL",603032,220313
"2479",2020-10-20,"NFLX",3434365,1492476
"2480",2020-10-21,"AAPL",44108485,17608039
"2481",2020-10-21,"AMZN",1717977,635210
"2482",2020-10-21,"FB",11639601,4775709
"2483",2020-10-21,"GOOGL",787688,283594
"2484",2020-10-21,"NFLX",7475965,3710094
"2485",2020-10-22,"AAPL",50565226,20531574
"2486",2020-10-22,"AMZN",1412458,534491
"2487",2020-10-22,"FB",6817138,3221397
"2488",2020-10-22,"GOOGL",390894,147347
"2489",2020-10-22,"NFLX",2687678,1244166
"2490",2020-10-23,"AAPL",40144905,16484224
"2491",2020-10-23,"AMZN",1146993,466256
"2492",2020-10-23,"FB",7573632,4138959
"2493",2020-10-23,"GOOGL",410354,136392
"2494",2020-10-23,"NFLX",2237983,764451
"2497",2020-10-26,"AAPL",51918725,20668226
"2498",2020-10-26,"AMZN",2460246,966760
"2499",2020-10-26,"FB",7619186,3765931
"2500",2020-10-26,"GOOGL",454902,145388
"2501",2020-10-26,"NFLX",2433390,1100858
"2502",2020-10-27,"AAPL",45983422,18555219
"2503",2020-10-27,"AMZN",1754527,651841
"2504",2020-10-27,"FB",6517788,3318309
"2505",2020-10-27,"GOOGL",261610,102196
"2506",2020-10-27,"NFLX",1337324,601701
"2507",2020-10-28,"AAPL",68382309,24476477
"2508",2020-10-28,"AMZN",2085280,841376
"2509",2020-10-28,"FB",8696185,3406026
"2510",2020-10-28,"GOOGL",589865,208391
"2511",2020-10-28,"NFLX",2473245,892971
"2512",2020-10-29,"AAPL",58919759,24327354
"2513",2020-10-29,"AMZN",2307087,955103
"2514",2020-10-29,"FB",12041989,4836401
"2515",2020-10-29,"GOOGL",591250,210553
"2516",2020-10-29,"NFLX",3777608,1902023
"2517",2020-10-30,"AAPL",86127810,35932914
"2518",2020-10-30,"AMZN",3071512,1285501
"2519",2020-10-30,"FB",18888014,10295162
"2520",2020-10-30,"GOOGL",1432880,526273
"2521",2020-10-30,"NFLX",2952856,1218210
"2524",2020-11-02,"AAPL",59129458,24102174
"2525",2020-11-02,"AMZN",2489020,991235
"2526",2020-11-02,"FB",11785496,6468936
"2527",2020-11-02,"GOOGL",636162,273701
"2528",2020-11-02,"NFLX",1476141,531829
"2529",2020-11-03,"AAPL",50876458,20376778
"2530",2020-11-03,"AMZN",1723196,687259
"2531",2020-11-03,"FB",7700645,4624565
"2532",2020-11-03,"GOOGL",398746,146889
"2533",2020-11-03,"NFLX",1230596,458518
"2534",2020-11-04,"AAPL",56331864,19236865
"2535",2020-11-04,"AMZN",2379932,846343
"2536",2020-11-04,"FB",14029479,4883976
"2537",2020-11-04,"GOOGL",990256,383468
"2538",2020-11-04,"NFLX",1615596,760190
"2539",2020-11-05,"AAPL",56803809,22627853
"2540",2020-11-05,"AMZN",2173831,779262
"2541",2020-11-05,"FB",9452079,5524332
"2542",2020-11-05,"GOOGL",531891,256969
"2543",2020-11-05,"NFLX",2103117,618278
"2544",2020-11-06,"AAPL",51417742,18426323
"2545",2020-11-06,"AMZN",1720986,739534
"2546",2020-11-06,"FB",5204546,2930657
"2547",2020-11-06,"GOOGL",376438,136029
"2548",2020-11-06,"NFLX",1515449,811163
"2551",2020-11-09,"AAPL",56483848,22259107
"2552",2020-11-09,"AMZN",2456771,923226
"2553",2020-11-09,"FB",7819066,4210045
"2554",2020-11-09,"GOOGL",561829,239394
"2555",2020-11-09,"NFLX",3245812,1419466
"2556",2020-11-10,"AAPL",61293790,25661599
"2557",2020-11-10,"AMZN",2298913,1003385
"2558",2020-11-10,"FB",9386802,4614664
"2559",2020-11-10,"GOOGL",491698,190768
"2560",2020-11-10,"NFLX",2997388,1300985
"2561",2020-11-11,"AAPL",55965971,19711866
"2562",2020-11-11,"AMZN",1589215,819660
"2563",2020-11-11,"FB",5862469,3476970
"2564",2020-11-11,"GOOGL",426642,159344
"2565",2020-11-11,"NFLX",1712366,664709
"2566",2020-11-12,"AAPL",48631704,29894498
"2567",2020-11-12,"AMZN",1787594,1039620
"2568",2020-11-12,"FB",4397772,2494947
"2569",2020-11-12,"GOOGL",332896,126079
"2570",2020-11-12,"NFLX",1709322,620341
"2571",2020-11-13,"AAPL",34892074,20341092
"2572",2020-11-13,"AMZN",1394879,791674
"2573",2020-11-13,"FB",3642331,1933623
"2574",2020-11-13,"GOOGL",401000,187144
"2575",2020-11-13,"NFLX",1181381,463183
"2578",2020-11-16,"AAPL",36765370,13814978
"2579",2020-11-16,"AMZN",1298368,647482
"2580",2020-11-16,"FB",3372736,1952970
"2581",2020-11-16,"GOOGL",332443,148381
"2582",2020-11-16,"NFLX",1670065,600311
"2583",2020-11-17,"AAPL",31978329,18742564
"2584",2020-11-17,"AMZN",1223681,610189
"2585",2020-11-17,"FB",6151454,3482737
"2586",2020-11-17,"GOOGL",237041,103393
"2587",2020-11-17,"NFLX",1172106,439872
"2588",2020-11-18,"AAPL",29879045,17472023
"2589",2020-11-18,"AMZN",1194906,600304
"2590",2020-11-18,"FB",4429334,2167937
"2591",2020-11-18,"GOOGL",259737,109874
"2592",2020-11-18,"NFLX",1226954,460324
"2593",2020-11-19,"AAPL",31129231,17821814
"2594",2020-11-19,"AMZN",1029700,528156
"2595",2020-11-19,"FB",4917004,2329543
"2596",2020-11-19,"GOOGL",319425,121299
"2597",2020-11-19,"NFLX",782629,303989
"2598",2020-11-20,"AAPL",29130573,17339310
"2599",2020-11-20,"AMZN",1031531,598667
"2600",2020-11-20,"FB",7842651,4841454
"2601",2020-11-20,"GOOGL",266632,93195
"2602",2020-11-20,"NFLX",1619757,567496
"2605",2020-11-23,"AAPL",57767542,20238049
"2606",2020-11-23,"AMZN",1684622,565626
"2607",2020-11-23,"FB",7571158,3261420
"2608",2020-11-23,"GOOGL",343276,109117
"2609",2020-11-23,"NFLX",1789423,781838
"2610",2020-11-24,"AAPL",49757326,18620205
"2611",2020-11-24,"AMZN",1413898,484068
"2612",2020-11-24,"FB",5956709,2123066
"2613",2020-11-24,"GOOGL",385444,135991
