RP_ENTITY_ID,RELEVANCE,ESS,RPNA_DATE_UTC,RPNA_TIME_UTC
D8442A,100,22,5/15/2019,00:03.4
D8442A,100,22,5/20/2019,40:05.1
D8442A,100,22,5/24/2019,04:55.1
D8442A,100,22,5/27/2019,05:12.0
D8442A,100,22,6/3/2019,45:19.3
D8442A,100,64,6/3/2019,16:00.4
D8442A,100,64,6/3/2019,16:00.5
D8442A,100,64,6/3/2019,16:00.6
D8442A,100,61,6/4/2019,00:19.7
D8442A,100,22,6/4/2019,35:00.4
D8442A,100,29,6/5/2019,01:04.9
D8442A,100,22,6/10/2019,30:25.8
D8442A,100,22,6/14/2019,15:00.3
D8442A,100,22,6/16/2019,10:02.4
D8442A,100,22,6/17/2019,00:01.8
D8442A,100,29,6/27/2019,50:16.9
D8442A,100,54,6/27/2019,50:00.3
D8442A,100,61,7/3/2019,00:04.4
D8442A,100,61,7/3/2019,00:05.7
D8442A,100,69,7/14/2019,59:00.3
D8442A,100,69,7/15/2019,50:00.6
D8442A,100,48,7/25/2019,00:00.4
D8442A,100,50,7/30/2019,30:01.1
D8442A,100,50,7/30/2019,30:01.1
D8442A,100,64,9/10/2019,29:00.4
D8442A,100,64,9/10/2019,29:00.4
D8442A,100,64,9/10/2019,48:00.4
D8442A,100,64,9/10/2019,37:00.5
D8442A,100,64,9/10/2019,37:00.5
D8442A,100,64,9/11/2019,37:48.7
D8442A,100,53,9/17/2019,54:40.9
D8442A,100,22,9/17/2019,38:00.4
D8442A,100,40,9/23/2019,07:02.6
D8442A,100,40,9/23/2019,15:00.3
D8442A,100,61,10/3/2019,00:28.7
D8442A,100,64,10/7/2019,05:04.1
D8442A,100,64,10/28/2019,00:00.4
D8442A,100,64,10/28/2019,00:00.4
D8442A,100,50,10/30/2019,30:01.6
D8442A,100,50,10/30/2019,30:01.6
D8442A,100,50,10/30/2019,30:01.6
D8442A,100,69,11/2/2019,47:00.5
D8442A,100,69,11/15/2019,38:23.5
D8442A,100,57,11/20/2019,15:00.3
D8442A,100,69,11/28/2019,30:03.5
D8442A,100,50,11/28/2019,26:46.3
D8442A,100,50,11/28/2019,30:00.4
D8442A,100,50,11/29/2019,20:00.5
D8442A,100,69,11/29/2019,40:05.6
D8442A,100,69,12/2/2019,00:00.7
D8442A,100,69,12/10/2019,47:00.3
D8442A,100,22,12/17/2019,00:10.7
ECD263,100,54,1/2/2019,00:05.4
ECD263,100,22,1/11/2019,43:42.0
ECD263,100,50,1/17/2019,00:04.4
ECD263,100,50,3/14/2019,00:14.0
ECD263,100,54,4/3/2019,00:05.7
ECD263,100,50,4/16/2019,00:05.9
ECD263,100,52,4/24/2019,31:02.9
ECD263,100,61,5/12/2019,54:04.1
ECD263,100,50,6/14/2019,30:02.6
ECD263,100,54,7/12/2019,00:02.7
ECD263,100,50,7/17/2019,00:04.5
ECD263,100,22,7/19/2019,39:00.3
ECD263,100,22,7/20/2019,35:00.3
ECD263,100,22,7/22/2019,23:00.4
ECD263,100,22,7/22/2019,34:00.3
ECD263,100,22,7/23/2019,44:00.5
ECD263,100,22,7/23/2019,24:02.0
ECD263,100,22,7/24/2019,46:50.9
ECD263,100,22,7/29/2019,30:04.1
ECD263,100,22,7/31/2019,15:12.3
ECD263,100,22,8/1/2019,11:28.9
ECD263,100,22,8/1/2019,48:16.1
ECD263,100,22,8/5/2019,05:03.2
ECD263,100,22,8/6/2019,08:27.9
ECD263,100,22,8/12/2019,25:02.6
ECD263,100,22,8/19/2019,15:04.3
ECD263,100,69,8/23/2019,00:03.3
ECD263,100,22,8/26/2019,30:02.1
ECD263,100,22,9/2/2019,05:02.7
ECD263,100,22,9/9/2019,15:03.8
ECD263,100,22,9/15/2019,59:17.9
ECD263,100,50,9/16/2019,30:02.5
ECD263,100,22,9/20/2019,03:28.9
ECD263,100,61,10/10/2019,45:02.5
ECD263,100,61,10/10/2019,00:34.7
ECD263,100,50,10/16/2019,00:04.1
ECD263,100,52,10/22/2019,33:22.6
ECD263,100,61,11/18/2019,04:15.4
ECD263,100,50,12/13/2019,00:03.5
0157B1,100,61,1/6/2020,00:05.5
0157B1,100,61,1/6/2020,00:10.8
0157B1,100,61,1/7/2020,08:59.7
0157B1,100,61,1/11/2020,48:46.6
0157B1,100,61,1/11/2020,48:46.9
0157B1,100,61,1/11/2020,05:33.9
0157B1,100,50,1/16/2020,01:00.5
0157B1,100,54,1/23/2020,14:00.4
0157B1,100,54,1/28/2020,00:03.6
0157B1,100,61,1/30/2020,00:21.0
0157B1,100,70,1/30/2020,01:01.5
0157B1,100,70,1/30/2020,01:01.5
0157B1,100,70,1/30/2020,01:01.5
0157B1,100,70,1/30/2020,01:01.5
0157B1,100,70,1/30/2020,01:01.5
0157B1,100,70,1/30/2020,01:01.6
0157B1,100,70,1/30/2020,01:01.6
0157B1,100,57,2/4/2020,00:03.8
0157B1,100,61,2/4/2020,00:02.5
0157B1,100,61,2/11/2020,00:25.7
0157B1,100,61,2/20/2020,00:05.6
0157B1,100,61,3/4/2020,00:17.7
0157B1,100,61,3/11/2020,00:41.1
0157B1,100,64,3/11/2020,27:00.4
0157B1,100,54,3/11/2020,00:04.7
0157B1,100,92,3/16/2020,00:04.9
0157B1,100,64,3/24/2020,00:01.9
0157B1,100,61,3/26/2020,45:40.9
0157B1,100,61,3/26/2020,02:05.0
0157B1,100,54,4/7/2020,01:02.3
0157B1,100,54,4/7/2020,01:26.5
0157B1,100,50,4/16/2020,01:00.6
0157B1,100,64,4/24/2020,17:00.6
0157B1,100,64,4/28/2020,00:51.5
0157B1,100,54,4/28/2020,04:00.8
0157B1,100,61,4/29/2020,00:04.7
0157B1,100,50,4/30/2020,01:01.1
0157B1,100,50,4/30/2020,01:01.1
0157B1,100,50,4/30/2020,01:01.1
0157B1,100,50,4/30/2020,01:01.1
0157B1,100,50,4/30/2020,01:01.2
0157B1,100,50,4/30/2020,01:01.2
0157B1,100,50,4/30/2020,01:01.2
0157B1,100,69,4/30/2020,02:01.6
0157B1,100,69,4/30/2020,02:01.7
0157B1,100,50,5/1/2020,05:03.4
0157B1,100,61,5/6/2020,10:01.2
0157B1,100,61,5/7/2020,00:02.0
0157B1,100,92,5/12/2020,17:10.9
0157B1,100,64,5/13/2020,49:00.4
0157B1,100,64,5/13/2020,49:00.4
0157B1,100,64,5/13/2020,24:51.9
0157B1,100,61,5/27/2020,00:09.1
0157B1,100,61,6/2/2020,00:07.0
0157B1,100,69,6/3/2020,11:03.4
0157B1,100,61,6/4/2020,15:00.4
0157B1,100,61,6/8/2020,02:02.6
0157B1,100,61,6/17/2020,41:00.7
0157B1,100,61,6/18/2020,00:15.9
0157B1,100,64,6/18/2020,05:00.3
0157B1,100,64,6/23/2020,10:15.8
0157B1,100,64,6/23/2020,00:46.6
