Date,Ticker,OTC_Short,OTC_Total,DPI
8/31/2020,NFLX,706222,1897694,0.372147459
8/28/2020,NFLX,698743,1743968,0.400662742
8/27/2020,NFLX,1340264,3529125,0.379772323
8/26/2020,NFLX,3761647,9110562,0.412888579
8/25/2020,NFLX,407683,1865877,0.218494038
8/24/2020,NFLX,650280,1831162,0.355118772
8/21/2020,NFLX,580218,1321377,0.439101029
8/20/2020,NFLX,768972,1791243,0.429295188
8/19/2020,NFLX,537175,1226371,0.438019979
8/18/2020,NFLX,500545,1226238,0.408195636
8/17/2020,NFLX,313842,839159,0.37399587
8/14/2020,NFLX,520463,1164498,0.446941944
8/13/2020,NFLX,489133,1225119,0.39925346
8/12/2020,NFLX,745795,2034074,0.366650869
8/11/2020,NFLX,1009489,2742728,0.368060194
8/10/2020,NFLX,906853,2106667,0.430468128
8/7/2020,NFLX,1245843,2691479,0.462884162
8/6/2020,NFLX,634009,1477331,0.429158394
8/5/2020,NFLX,904440,2124002,0.425818808
8/4/2020,NFLX,1148459,2766191,0.415177043
8/3/2020,NFLX,1158045,3072815,0.376867791
7/31/2020,NFLX,1277898,2995984,0.426536991
7/30/2020,NFLX,1772925,3901589,0.454411011
7/29/2020,NFLX,1486663,3388926,0.438682639
7/28/2020,NFLX,1584589,3414252,0.464110148
7/27/2020,NFLX,1658645,4231694,0.391957689
7/24/2020,NFLX,1788594,4191944,0.426674116
7/23/2020,NFLX,1593604,3688431,0.432054714
7/22/2020,NFLX,1441583,3378415,0.426703943
7/21/2020,NFLX,1962599,4580653,0.428453978
7/20/2020,NFLX,2740801,6567820,0.417307569
7/17/2020,NFLX,6389522,13598221,0.469879259
7/16/2020,NFLX,5066704,11894830,0.425958505
7/15/2020,NFLX,2232192,5861797,0.380803361
7/14/2020,NFLX,3246689,8501834,0.381881015
7/13/2020,NFLX,4128118,9403121,0.439015727
7/10/2020,NFLX,4602123,11318706,0.406594446
7/9/2020,NFLX,1041909,2511840,0.414799111
7/8/2020,NFLX,818977,2373276,0.345082915
7/7/2020,NFLX,969364,2531291,0.382952414
7/6/2020,NFLX,1290010,3241066,0.398020281
7/2/2020,NFLX,1485849,2678327,0.554767584
7/1/2020,NFLX,1919696,3669847,0.523099737
6/30/2020,NFLX,727487,1273638,0.571188203
6/29/2020,NFLX,831906,1482970,0.560972913
6/26/2020,NFLX,1120171,2205013,0.508011064
6/25/2020,NFLX,851901,1441099,0.591146757
6/24/2020,NFLX,1112774,1960461,0.567608333
6/23/2020,NFLX,1167857,2209720,0.528509042
6/22/2020,NFLX,1397675,2450991,0.570248932
6/19/2020,NFLX,889012,1572585,0.565318886
6/18/2020,NFLX,871127,1611389,0.540606272
6/17/2020,NFLX,1305017,2382849,0.547670876
6/16/2020,NFLX,1057676,1807178,0.585263876
6/15/2020,NFLX,973324,1538925,0.632470068
6/12/2020,NFLX,1311565,2338355,0.560892166
6/11/2020,NFLX,1487160,2796264,0.531838196
6/10/2020,NFLX,917194,1629856,0.562745421
6/9/2020,NFLX,1511223,2661486,0.567811741
6/8/2020,NFLX,1251514,2243210,0.557912099
6/5/2020,NFLX,1047933,1763878,0.594107416
6/4/2020,NFLX,1072619,2000779,0.536100689
6/3/2020,NFLX,1135406,1903169,0.596587061
6/2/2020,NFLX,781503,1349191,0.579238225
6/1/2020,NFLX,969960,1598224,0.606898658
5/29/2020,NFLX,1080748,1847796,0.584884912
5/28/2020,NFLX,1402365,2424720,0.578361625
5/27/2020,NFLX,2388034,4318106,0.55302811
5/26/2020,NFLX,1788634,3084947,0.579794078
5/22/2020,NFLX,1338255,2324617,0.575688382
5/21/2020,NFLX,2030565,3809588,0.533014331
5/20/2020,NFLX,1502730,2495942,0.602069279
5/19/2020,NFLX,1313000,2243251,0.585311229
5/18/2020,NFLX,1743398,3079736,0.566086833
5/15/2020,NFLX,1835156,3186436,0.575927463
5/14/2020,NFLX,2594859,4403581,0.589261104
5/13/2020,NFLX,2185636,3513531,0.622062535
5/12/2020,NFLX,1147382,1959378,0.585584813
5/11/2020,NFLX,1339296,2405079,0.556861542
5/8/2020,NFLX,1047183,2095603,0.499704858
5/7/2020,NFLX,1297808,2213246,0.586382174
5/6/2020,NFLX,1753946,3034230,0.578053081
5/5/2020,NFLX,1467248,2709625,0.541494856
5/4/2020,NFLX,1906033,3328416,0.57265468
5/1/2020,NFLX,2113198,3477213,0.607727511
4/30/2020,NFLX,1779527,3009816,0.591241126
4/29/2020,NFLX,2188181,3893335,0.562032551
4/28/2020,NFLX,2407779,4439763,0.542321516
4/27/2020,NFLX,1654600,2968669,0.557354154
4/24/2020,NFLX,2224944,3808611,0.584187779
4/23/2020,NFLX,4523105,7172918,0.630580888
4/22/2020,NFLX,6500530,10538655,0.61682729
4/21/2020,NFLX,5202354,8794140,0.591570523
4/20/2020,NFLX,3859418,6386029,0.604353347
4/17/2020,NFLX,2922865,5241241,0.557666591
4/16/2020,NFLX,4231424,6901330,0.613131672
4/15/2020,NFLX,3850731,6266316,0.614512738
4/14/2020,NFLX,2851805,5202421,0.548168824
4/13/2020,NFLX,2641507,4729610,0.55850419
4/9/2020,NFLX,1467751,2716978,0.540214533
4/8/2020,NFLX,1521646,2504189,0.607640238
4/7/2020,NFLX,1581569,2742517,0.576685213
4/6/2020,NFLX,1263284,2597059,0.486428687
4/3/2020,NFLX,1108117,1799216,0.615888809
4/2/2020,NFLX,1137334,1823218,0.62380582
4/1/2020,NFLX,1641066,2678232,0.612742287
3/31/2020,NFLX,2077397,3213641,0.646430949
3/30/2020,NFLX,2199240,3420445,0.64296897
3/27/2020,NFLX,1488856,2525755,0.589469683
3/26/2020,NFLX,1454794,2676671,0.543508709
3/25/2020,NFLX,1757773,3522381,0.499029776
3/24/2020,NFLX,2187063,4373505,0.500070996
3/23/2020,NFLX,3109396,5812562,0.534944143
3/20/2020,NFLX,1992463,3786198,0.526243741
3/19/2020,NFLX,2128961,4254654,0.50038405
3/18/2020,NFLX,1750841,3783759,0.462725295
3/17/2020,NFLX,1872223,3929943,0.476399531
3/16/2020,NFLX,1702829,3400325,0.50078419
3/13/2020,NFLX,1567883,3226317,0.485966816
3/12/2020,NFLX,1959744,4199785,0.466629601
3/11/2020,NFLX,1134095,2070786,0.547664027
3/10/2020,NFLX,1527544,2659020,0.574476311
3/9/2020,NFLX,1325267,2467564,0.537075026
3/6/2020,NFLX,1765858,2961473,0.59627692
3/5/2020,NFLX,1417562,2645454,0.535848289
